id,parent,name,class,status,type,description
REQ-F-REG-002,F-REG,Potilaan tietojen muokkaus ja historiat,Requirement,In design,Functional,"<h3>Potilaan tietojen muokkaus ja historiat</h3><p>Tämä vaatimus määrittelee, mitä f-reg toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Kaikki muutokset potilaan perustietoihin versionoidaan; aikaisemmat arvot ovat luettavissa historiasta.</li><li>Muutoksia voivat tehdä vain roolit Lääkäri tai Hoitaja; katselu on sallittu myös Laskutus-roolille ilman muokkausoikeutta.</li><li>Muutoskirjaus sisältää syyn (vapaa teksti) ja näkyy potilaan auditointinäkymässä.</li><li>Järjestelmä estää henkilötunnuksen muuttamisen, mikäli potilaalla on hoitojaksoihin sidottuja merkintöjä; ohittaa vain ylläpitäjän vahvistuksella.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-REG-003,F-REG,Suostumusten hallinta,Requirement,In design,Functional,"<h3>Suostumusten hallinta</h3><p>Tämä vaatimus määrittelee, mitä f-reg toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Käyttäjä voi asettaa potilaan tietojen jakamiseen liittyvät suostumukset ja kiellot rakenteisina valintoina.</li><li>Suostumukset ovat kontekstisidonnaisia (esim. tutkimus, hoito, opetuskäyttö) ja sisältävät voimassaolon.</li><li>Käyttöliittymä näyttää selkeästi nykyiset suostumukset ja niiden vaikutukset tiedon näkyvyyteen.</li><li>Lokitus kirjaa suostumusmuutokset perusteineen.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-REG-004,F-REG,Yhteyshenkilöt ja alaikäisen huoltajat,Requirement,In design,Functional,"<h3>Yhteyshenkilöt ja alaikäisen huoltajat</h3><p>Tämä vaatimus määrittelee, mitä f-reg toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Potilaalle voidaan lisätä n kappaletta yhteyshenkilöitä määriteltyine rooleineen (huoltaja, omainen, tulkki).</li><li>Alaikäisen potilaan kohdalla vähintään yhden huoltajan tiedot ovat pakollisia.</li><li>Yhteyshenkilöiden tiedot periytyvät ajanvaraukseen ja yhteydenottokanaviin.</li><li>Tietojen oikeellisuus validoidaan (esim. puhelin, sähköposti).</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-REG-005,F-REG,Potilaan poistaminen ja arkistointi,Requirement,In design,Functional,"<h3>Potilaan poistaminen ja arkistointi</h3><p>Tämä vaatimus määrittelee, mitä f-reg toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Potilasta ei voi fyysisesti poistaa, mutta hänet voidaan merkitä arkistoiduksi, jolloin tiedot ovat vain luku -tilassa.</li><li>Arkistointi edellyttää perustetta ja näkyy auditointiraporteissa.</li><li>Arkistoidun potilaan aktivointi on mahdollista ylläpitäjän toimesta lokimerkinnällä.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-APPT-001,F-APPT,Ajanvaraus kalenterista,Requirement,In design,Functional,"<h3>Ajanvaraus kalenterista</h3><p>Tämä vaatimus määrittelee, mitä f-appt toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Käyttäjä voi etsiä vapaita aikoja lääkäreittäin, vastaanottohuoneittain ja palvelutyypeittäin.</li><li>Päällekkäisvaraukset estetään; järjestelmä näyttää konfliktit ja vaihtoehdot.</li><li>Varaus sisältää potilaan, ammattilaisen, ajan, paikan ja palvelutyypin; kaikki kentät tallentuvat yhteen transaktioon.</li><li>Vahvistus lähetetään potilaan valitsemaan kanavaan (SMS/sähköposti), jos kanava on määritelty.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-APPT-002,F-APPT,Saapumisen kuittaus ja jonotus,Requirement,In design,Functional,"<h3>Saapumisen kuittaus ja jonotus</h3><p>Tämä vaatimus määrittelee, mitä f-appt toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Potilaan saapuminen kirjataan vastaanotossa; tilaksi asetetaan 'saapunut'.</li><li>Järjestelmä muodostaa jonon ammattilaiselle ensimmäisenä saapunut ensimmäisenä palvellaan -periaatteella.</li><li>Kutsuminen huoneeseen kirjautuu tapahtumana aikaleimoineen.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-APPT-003,F-APPT,Peruutukset ja uudelleenajoitus,Requirement,In design,Functional,"<h3>Peruutukset ja uudelleenajoitus</h3><p>Tämä vaatimus määrittelee, mitä f-appt toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Varaus voidaan peruuttaa syykoodeilla; peruutus kirjaa ajan vapautumisen kalenteriin.</li><li>Uudelleenajoitus säilyttää alkuperäisen varauksen historiana ja luo uuden ajan sidoksineen.</li><li>Potilaalle lähtee automaattinen ilmoitus muutoksesta valitun kanavan kautta.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-APPT-004,F-APPT,Palvelutyypin ohjaama lomake,Requirement,In design,Functional,"<h3>Palvelutyypin ohjaama lomake</h3><p>Tämä vaatimus määrittelee, mitä f-appt toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Varattava palvelutyyppi ohjaa vastaanoton lomakepohjaa (minimikentät ja valinnat).</li><li>Hallinta tapahtuu konfiguroinnilla ilman koodimuutoksia.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-APPT-005,F-APPT,Resurssien käyttöasteen raportointi,Requirement,In design,Functional,"<h3>Resurssien käyttöasteen raportointi</h3><p>Tämä vaatimus määrittelee, mitä f-appt toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Järjestelmä tuottaa käyttöasteen raportit lääkäreittäin ja huoneittain valitulla aikavälillä.</li><li>Raportti on ladattavissa CSV-muodossa ja sisältää mittarit: varatut tunnit, peruuntumiset, no-show.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-EMR-001,F-EMR,Rakenteinen potilaskertomus,Requirement,In design,Functional,"<h3>Rakenteinen potilaskertomus</h3><p>Tämä vaatimus määrittelee, mitä f-emr toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Potilaskertomuksen merkintä koostuu otsikosta, rakenteisista kentistä ja vapaasta tekstistä.</li><li>Merkintä linkittyy käyntiin ja ammattilaiseen; aikaleimat tallentuvat.</li><li>Pakolliset kentät varmistetaan ennen tallennusta; puuttuvat kentät estävät tallennuksen.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
